LCLid,stdorToU,DateTime,consumption_Wh
MAC000100,Std,2013-12-29 15:00:00,200.0
MAC000100,Std,2013-12-29 15:30:00,111.0
MAC000100,Std,2013-12-29 16:00:00,232.0
MAC000100,Std,2013-12-29 16:30:00,216.0
MAC000100,Std,2013-12-29 17:00:00,234.0
MAC000100,Std,2013-12-29 17:30:00,473.0
MAC000100,Std,2013-12-29 18:00:00,396.0
MAC000100,Std,2013-12-29 18:30:00,428.0
MAC000100,Std,2013-12-29 19:00:00,258.0
MAC000100,Std,2013-12-29 19:30:00,242.0
MAC000100,Std,2013-12-29 20:00:00,258.0
MAC000100,Std,2013-12-29 20:30:00,257.0
MAC000100,Std,2013-12-29 21:00:00,268.0
MAC000100,Std,2013-12-29 21:30:00,436.0
MAC000100,Std,2013-12-29 22:00:00,248.0
MAC000100,Std,2013-12-29 22:30:00,263.0
MAC000100,Std,2013-12-29 23:00:00,169.0
MAC000100,Std,2013-12-29 23:30:00,77.0
MAC000100,Std,2013-12-30 00:00:00,82.0
MAC000100,Std,2013-12-30 00:30:00,116.0
MAC000100,Std,2013-12-30 01:00:00,82.0
MAC000100,Std,2013-12-30 01:30:00,85.0
MAC000100,Std,2013-12-30 02:00:00,89.0
MAC000100,Std,2013-12-30 02:30:00,67.0
MAC000100,Std,2013-12-30 03:00:00,96.0
MAC000100,Std,2013-12-30 03:30:00,86.0
MAC000100,Std,2013-12-30 04:00:00,67.0
MAC000100,Std,2013-12-30 04:30:00,97.0
MAC000100,Std,2013-12-30 05:00:00,109.0
MAC000100,Std,2013-12-30 05:30:00,103.0
MAC000100,Std,2013-12-30 06:00:00,142.0
MAC000100,Std,2013-12-30 06:30:00,73.0
MAC000100,Std,2013-12-30 07:00:00,69.0
MAC000100,Std,2013-12-30 07:30:00,112.0
MAC000100,Std,2013-12-30 08:00:00,317.0
MAC000100,Std,2013-12-30 08:30:00,197.0
MAC000100,Std,2013-12-30 09:00:00,264.0
MAC000100,Std,2013-12-30 09:30:00,743.0
MAC000100,Std,2013-12-30 10:00:00,378.0
MAC000100,Std,2013-12-30 10:30:00,137.0
MAC000100,Std,2013-12-30 11:00:00,97.0
MAC000100,Std,2013-12-30 11:30:00,134.0
MAC000100,Std,2013-12-30 12:00:00,92.0
MAC000100,Std,2013-12-30 12:30:00,61.0
MAC000100,Std,2013-12-30 13:00:00,85.0
MAC000100,Std,2013-12-30 13:30:00,1082.9998999999998
MAC000100,Std,2013-12-30 14:00:00,838.0
MAC000100,Std,2013-12-30 14:30:00,232.0
MAC000100,Std,2013-12-30 15:00:00,1100.0
MAC000100,Std,2013-12-30 15:30:00,789.0
MAC000100,Std,2013-12-30 16:00:00,162.0
MAC000100,Std,2013-12-30 16:30:00,449.0
MAC000100,Std,2013-12-30 17:00:00,295.0
MAC000100,Std,2013-12-30 17:30:00,291.0
MAC000100,Std,2013-12-30 18:00:00,387.0
MAC000100,Std,2013-12-30 18:30:00,355.0
MAC000100,Std,2013-12-30 19:00:00,251.0
MAC000100,Std,2013-12-30 19:30:00,288.0
MAC000100,Std,2013-12-30 20:00:00,255.0
MAC000100,Std,2013-12-30 20:30:00,261.0
MAC000100,Std,2013-12-30 21:00:00,266.0
MAC000100,Std,2013-12-30 21:30:00,413.0
MAC000100,Std,2013-12-30 22:00:00,291.0
MAC000100,Std,2013-12-30 22:30:00,330.0
MAC000100,Std,2013-12-30 23:00:00,222.0
MAC000100,Std,2013-12-30 23:30:00,91.0
MAC000100,Std,2013-12-31 00:00:00,65.0
MAC000100,Std,2013-12-31 00:30:00,66.0
MAC000100,Std,2013-12-31 01:00:00,81.0
MAC000100,Std,2013-12-31 01:30:00,100.0
MAC000100,Std,2013-12-31 02:00:00,67.0
MAC000100,Std,2013-12-31 02:30:00,69.0
MAC000100,Std,2013-12-31 03:00:00,84.0
MAC000100,Std,2013-12-31 03:30:00,66.0
MAC000100,Std,2013-12-31 04:00:00,87.0
MAC000100,Std,2013-12-31 04:30:00,92.0
MAC000100,Std,2013-12-31 05:00:00,71.0
MAC000100,Std,2013-12-31 05:30:00,67.0
MAC000100,Std,2013-12-31 06:00:00,78.0
MAC000100,Std,2013-12-31 06:30:00,91.0
MAC000100,Std,2013-12-31 07:00:00,121.0
MAC000100,Std,2013-12-31 07:30:00,174.0
MAC000100,Std,2013-12-31 08:00:00,138.0
MAC000100,Std,2013-12-31 08:30:00,348.0
MAC000100,Std,2013-12-31 09:00:00,179.0
MAC000100,Std,2013-12-31 09:30:00,297.0
MAC000100,Std,2013-12-31 10:00:00,847.0
MAC000100,Std,2013-12-31 10:30:00,280.0
MAC000100,Std,2013-12-31 11:00:00,347.0
MAC000100,Std,2013-12-31 11:30:00,485.0
MAC000100,Std,2013-12-31 12:00:00,767.0
MAC000100,Std,2013-12-31 12:30:00,271.0
MAC000100,Std,2013-12-31 13:00:00,507.0
MAC000100,Std,2013-12-31 13:30:00,182.0
MAC000100,Std,2013-12-31 14:00:00,187.0
MAC000100,Std,2013-12-31 14:30:00,230.0
MAC000100,Std,2013-12-31 15:00:00,391.0
MAC000100,Std,2013-12-31 15:30:00,341.0
MAC000100,Std,2013-12-31 16:00:00,306.0
MAC000100,Std,2013-12-31 16:30:00,284.0
MAC000100,Std,2013-12-31 17:00:00,219.0
MAC000100,Std,2013-12-31 17:30:00,411.0
MAC000100,Std,2013-12-31 18:00:00,758.0
MAC000100,Std,2013-12-31 18:30:00,281.0
MAC000100,Std,2013-12-31 19:00:00,277.0
MAC000100,Std,2013-12-31 19:30:00,232.0
MAC000100,Std,2013-12-31 20:00:00,353.0
MAC000100,Std,2013-12-31 20:30:00,291.0
MAC000100,Std,2013-12-31 21:00:00,271.0
MAC000100,Std,2013-12-31 21:30:00,173.0
MAC000100,Std,2013-12-31 22:00:00,166.0
MAC000100,Std,2013-12-31 22:30:00,279.0
